RankTier,Standard,Doubles,SoloDuel,SoloStandard
Bronze 1,0.0163,0.0477,0.0334,0.037
Bronze 2,0.036,0.0824,0.0814,0.0571
Bronze 3,0.0664,0.1159,0.125,0.0771
Silver 1,0.1071,0.1391,0.1615,0.1117
Silver 2,0.1297,0.133,0.1454,0.1215
Silver 3,0.1323,0.1153,0.1217,0.1178
Gold 1,0.1399,0.1066,0.1081,0.1269
Gold 2,0.1104,0.0785,0.077,0.099
Gold 3,0.0805,0.0557,0.0493,0.0741
Platinum 1,0.0721,0.0482,0.0428,0.0699
Platinum 2,0.0427,0.0283,0.0228,0.0419
Platinum 3,0.0252,0.0171,0.0132,0.0258
Diamond 1,0.0207,0.0146,0.0091,0.02
Diamond 2,0.0106,0.0078,0.0043,0.0097
Diamond 3,0.0044,0.0038,0.0022,0.0049
Champion 1,0.0033,0.0034,0.0016,0.0034
Champion 2,0.0014,0.0014,0.0006,0.0013
Champion 3,0.0005,0.0005,0.0003,0.0005
Grand Champion,0.0005,0.0007,0.0003,0.0004
